item,specification,frozen_value
phase,PHASE M1.1 - EXTERNAL-PROTOCOL RECONCILIATION (PANIC-BREADTH -> MARKET REBOUND),restore external frozen protocol
governance,M1.1-G commit 8c66b21: M1 (661e81f/bee0efa) 保留为 EXPLORATORY PROTOCOL-DEVIATED RUN; M1=B 与 ETF carrier YES 不写入 CURRENT TRUTH; ETF gate HOLD 直至 M1.1 完成; 本 Registry 逐条冻结外部原始协议, 恢复原协议非看到 M1 结果后重设 gate,"frozen"
deviations,D1 external primary=FWD5 (M1 used FWD20); D2 external horizons=1/3/5/10/20 (M1 used 5/10/20/40); D3 external continuous=EXPANDING_BREADTH_RANK01 (M1 used raw Spearman+full-sample Q1-Q5); D4 external conditional=FWD5~expanding_rank+MARKET_RET_T (M1 used panic dummy); D5 external yearly denominator=2021-2024 >=3/4 (M1 registry wrote 2020-2024 >=3/5); D6 cluster-first robustness missing in M1; D7 FWD5 tail + future-5d drawdown missing in M1; D8 benchmark hierarchy (official wide-base first, PIT equal-weight fallback) not executed/recorded in M1,"recorded"
breadth_state,PANIC80 完全冻结 P7: for T use only date<T historical B20_BREADTH_PCT; minimum history 252 prior trading days; PANIC80 = BREADTH_PCT(T) >= prior-history 80th percentile; full-sample qcut forbidden as deployable trigger; PANIC80 parity MUST match P7 exactly = 188 panic signal days on fully comparable range,"frozen"
expanding_rank,EXPANDING_BREADTH_RANK01 for each T: only date<T historical breadth distribution; rank = percentile of current breadth within prior-history distribution (count prior <= current)/len(prior); T excluded from own reference; future excluded; <252 prior trading days -> NA (not in deployable primary inference); full-sample percentile rank substitution FORBIDDEN,"frozen"
market_series,series hierarchy executed BEFORE looking at outcomes: (1) official Tushare wide-base index daily (中证全指 or equivalent full-market wide-base); check availability in repo data; (2) if not reliably available -> frozen fallback = daily equal-weight close-to-close return over that day's frozen legal universe (listed>=60d & non-PIT-ST & BB warmup non-NaN, same as B1 universe_size); output PRIMARY_SERIES_CHOICE=OFFICIAL_INDEX|PIT_EQUAL_WEIGHT_FALLBACK + objective reason; no index cherry-picking after comparing results; M1 all-A equal-weight (all stocks incl ST) does NOT satisfy fallback definition -> must be rebuilt,"frozen"
forward_return,breadth known at T close; forward returns strictly after T close; FWD1=close(T+1)/close(T)-1; FWD3=close(T+3)/close(T)-1; FWD5=close(T+5)/close(T)-1; FWD10; FWD20; trading-day indexing,"frozen"
primary_horizon,PRIMARY = FWD5 (frozen by external protocol before M1 results); SECONDARY = FWD1/FWD3/FWD10/FWD20; FWD40 stays M1 exploratory only and NEVER enters M1.1 classification; do not revert to FWD20 because M1 showed +0.43pp,"frozen"
primary_estimand,within deployable sample: mean(FWD5|PANIC80=1) - mean(FWD5|PANIC80=0); report panic n / normal n / mean / median / win rate / P10 / P90 / delta,"frozen"
hac,OLS FWD5 = a + b*PANIC80; Newey-West HAC maxlags=10; report b SE 95% CI; statsmodels parity must be output if available,"frozen"
bootstrap,full 2020-2024 trading-calendar moving block bootstrap L=21 B=2000 seed=0; frozen original PANIC labels; each replicate mean(sampled panic FWD5) - mean(sampled normal FWD5); retain multiplicity; no threshold recomputation inside bootstrap; report point/bootstrap mean/median/P2.5/P97.5,"frozen"
continuous,PRIMARY-SUPPORT test strictly uses EXPANDING_BREADTH_RANK01: OLS FWD5 = a + b1*EXPANDING_BREADTH_RANK01; NW HAC10; report b1 SE CI; plus Spearman(EXPANDING_BREADTH_RANK01, FWD5); raw BREADTH_PCT Spearman or full-sample Q1-Q5 must NOT substitute,"frozen"
conditional,STRICT: FWD5 = a + b1*EXPANDING_BREADTH_RANK01 + b2*MARKET_RET_T; MARKET_RET_T = PRIMARY market series T-day close-to-close return; standard multivariate Newey-West sandwich maxlags=10; statsmodels parity; report b1 SE CI and b2 SE CI,"frozen"
panic_dummy_conditional,M1-style FWD5 ~ PANIC + MARKET_RET_T retained as SECONDARY descriptive only; does NOT replace the continuous conditional gate,"frozen"
yearly,deployable PANIC80 evaluated ONLY over 2021/2022/2023/2024; 2020 excluded from sign denominator (no deployable panic due to 252-day warmup); per year: panic n / normal n / panic FWD5 mean / normal FWD5 mean / delta / Spearman(expanding rank, FWD5); PRIMARY stability = positive panic delta years / 4,"frozen"
cluster_robustness,consecutive PANIC80 dates merged into clusters; keep ONLY the FIRST PANIC DAY of each cluster; recompute FWD5 panic-cluster-first mean vs normal comparison (or at least cluster forward distribution); report cluster n / mean / median / win; SECONDARY robustness, does NOT replace daily primary estimand,"frozen"
horizons,full output FWD1/FWD3/FWD5/FWD10/FWD20: panic mean / normal mean / delta / HAC CI per horizon; classification determined ONLY by FWD5 primary + frozen supporting tests; no best-horizon selection,"frozen"
tail,FWD5 PANIC vs NORMAL: mean/median/win/P10/P5/minimum; FUTURE_5D_DRAWDOWN_FROM_T_CLOSE = min(close T+1..T+5)/close(T)-1; compare PANIC vs NORMAL mean/median/P10/P5/minimum; answer whether panic rebound carries worse continued-decline tail,"frozen"
