item,specification,frozen_value
phase,PHASE D1.2 - EFFECTIVE FINANCIAL VISIBILITY-DATE AUDIT,visibility audit only
governance,D1.1 implementation PASS (STRICT selector exact); external audit raises more fundamental PIT visibility question: Tushare defines ann_date=公告日期 and f_ann_date=实际公告日期; if ann_date<=T but f_ann_date>T the version may not have been actually visible at T. D1 stays HOLD; S3 FUNDAMENTAL DISTRESS FORBIDDEN until D1.2 resolves,"D1 HOLD"
purpose,answer for income/cashflow historical records which date truly represents when market participants could see the financial version (ann_date vs f_ann_date). Data profiling + signal-level exposure + official semantics + real-world spotcheck + two candidate visibility rules. No strategy test. No outcome read. 2025-2026 CLOSED,"visibility semantics"
data_profile,scan raw income/cashflow: (1) f_ann_date missing (2) f_ann_date==ann_date (3) f_ann_date<ann_date (4) f_ann_date>ann_date by group and row counts; delta_days=f_ann_date-ann_date distribution min/P1/P5/median/P95/P99/max,"frozen stats"
signal_exposure,for all 63,785 B20 signals examine every component selected by D1.1 STRICT selector (income/cashflow x cur/prev_same/prev_full): count components with selected_ann_date<=signal_date BUT selected_f_ann_date>signal_date = FUTURE_ACTUAL_ANN_COMPONENT (PRIMARY P0 CHECK; if >0 D1.1 context has potential visibility leakage),"P0 check"
candidate_rules,only two candidates: RULE_A VISIBLE_DATE=ann_date (current D1.1 semantics); RULE_B VISIBLE_DATE=f_ann_date if non-null else ann_date. No min()/max()/other third rule unless official docs explicitly require and governance-registered first,"two rules"
official_semantics,collect Tushare official income/cashflow field definitions (docs/data-dictionary/examples) for ann_date and f_ann_date; if official semantics remain ambiguous mark SEMANTICS_AMBIGUOUS and do not guess,"evidence"
real_world_spotcheck,for records with f_ann_date>ann_date pick largest-delta cases, >=30 distinct stocks/periods; verify actual public date from auditable official announcement sources (exchange announcements, cninfo 巨潮, company filings, Tushare anns_d/disclosure_date if permitted); news-repost dates are NOT acceptable as disclosure dates; output ts_code/end_date/ann_date/f_ann_date/official_public_date/source/which_field_matches,">=30 cases"
disclosure_crosscheck,if Tushare disclosure_date interface available query conflict cases actual_date; compare actual_date vs ann_date vs f_ann_date; tabulate actual_date==ann_date / ==f_ann_date / other; helps determine true PIT visibility field,"if available"
anns_d_crosscheck,if anns_d permission available check conflict cases' formal announcement ann_date/rec_time for disclosure-date verification only (NOT news factors); if no permission report NOT_AVAILABLE (not a failure),"if available"
rule_b_rebuild,rebuild income/cashflow STRICT selector under RULE_B: candidate visible_date<=T; then max visible_date; tie max update_flag; tie deterministic hash; NEVER use future f_ann_date as tie-break again,"frozen algorithm"
impact_report,D1.1 RULE_A vs RULE_B: compare latest_report_period/latest_visible_date/revenue_ttm/netprofit_ttm/ocf_ttm/revenue_yoy/netprofit_yoy/loss_flag/negative_ocf_flag/profit_decline_flag/revenue_decline_flag; changed signal events n/%, per-field changed n/%, by year; specially report signals where RULE_A had values but RULE_B not yet visible at T,"full diff"
ttm_p0,under RULE_B every non-null TTM component must satisfy visible_date<=signal_date by machine assertion; future_visible_component_count must equal 0,"=0"
fina_indicator,fina_indicator has no f_ann_date; keep D1.1 AMBIGUOUS->NA rule unchanged; explicitly note fina visibility only by ann_date (interface field limitation); no re-guessing versions,"unchanged"
forecast_express,check official fields of forecast/express; if no f_ann_date keep ann_date as public date; no strategy modification,"audit only"
classification,D1.2-A RULE_A VALID only if official/spotcheck evidence proves ann_date IS the true visible date and f_ann_date is not a future-publication marker; D1.2-B RULE_B REQUIRED if f_ann_date closer to true actual disclosure; D1.2-C SEMANTICS AMBIGUOUS if undeterminable -> income/cashflow PIT cannot enter S3 until a more reliable announcement-date source exists,"frozen"
acceptance_gate,only A or B AND future_visible_component_count=0 AND spot checks PASS -> D1 FINAL ACCEPT; then FUNDAMENTAL A/B qualifies for S3,"gate"
invariants,I1 no outcome access; I2 no strategy test; I3 no threshold search; I4 no 2025-2026; I5 D1/D1.1 raw data unchanged; I6 fina ambiguous->NA unchanged; I7 sector unchanged; I8 prior registry SHA unchanged (D1 6168e104...; D1.1 414a1816...),"frozen"
