item,specification,frozen_value
phase,PHASE B1 - B20 SIGNAL BREADTH / CROWDING DIAGNOSTIC,date-level diagnostic only
governance,W1 accepted as D HARMFUL (external audit); multi-timeframe strategy branch CLOSED (no weekly filter/trigger/upper-exit/parameter scan); open signal breadth diagnostic,"R1.7"
question,on frozen B20 universe: when signal_date=T, does larger count/breadth of same-day legal B20 candidates predict higher future overall expectancy of that day's independent B20 episodes? Date-level diagnostic only,no K change,"frozen"
sample,frozen S1/S1.1 B20 2020-2024 n=63,785 exact parity; 2025-2026 CLOSED,"n=63785"
breadth_variable,B20_COUNT = frozen B20 candidate count per signal_date (from S1 B20 episodes by signal_date); B20_BREADTH_PCT = B20_COUNT / legal universe size at T,"frozen"
universe_denominator,PIT legal tradable pool at T: li>=0 (list_date+60 via full trade calendar 1990+; stock_basic list_date) AND not is_st_pit (pit_st_daily.parquet fillna False; warmup 2018-2019 is_st_pit) AND bb_lower not NaN (rolling BB20 warmup on warmup+main adjusted closes); matching frozen eligibility semantics of V2A_FROZEN_STRICT,"frozen"
primary_variable,B20_BREADTH_PCT is PRIMARY; raw B20_COUNT secondary (A-share population grew 2020-2024),"frozen"
quantile_groups,frozen rule: split all 2020-2024 signal days by B20_BREADTH_PCT into Q1..Q5 (quintiles, pd.qcut q=5, duplicates drop); boundaries NOT hard-coded from results; descriptive quantile diagnostic, not a trade threshold,"frozen"
date_outcome,per signal_date: DAY_MEAN_RETURN = mean of that day's frozen independent B20 episode simple_return_pct; DAY_WIN_RATE; DAY_MEAN_MAE; DAY_MAE30_RATE; DAY_MEAN_HOLD; DAY_HOLD90_RATE; DATE is primary observation (63,785 episodes NOT independent primary samples),"frozen"
primary_relation,Spearman(B20_BREADTH_PCT, DAY_MEAN_RETURN) over signal days; HAC inference via rank regression DAY_MEAN_RETURN ~ rank(BREADTH_PCT) (direction + CI only, no model selection), HAC maxlags=10,"frozen"
quintile_monotonicity,Q1..Q5 report n days / mean count / mean breadth / DAY_MEAN_RETURN / win / MAE / MAE30 / hold / HOLD90; check rough monotonicity Q1<Q2<Q3<Q4<Q5,"frozen"
calendar_bootstrap,Q5-Q1 DAY_MEAN_RETURN: full 2020-2024 trading-calendar moving block bootstrap L=21 B=2000 seed=0; zero-signal days (breadth=0) included in calendar timeline but have no outcome (no imputed return=0); primary signal-day analysis and full-calendar robustness reported separately,"frozen"
zero_signal_days,breadth time series covers ALL legal trading days incl. B20_COUNT=0; outcome relation uses signal days only; semantics explicit,"frozen"
yearly_stability,per year 2020..2024: Spearman breadth vs DAY_MEAN_RETURN; year-specific Q5-Q1 if sample allows; stability required not just 5y aggregate,"frozen"
market_confounding,report breadth quintile means of: all-A equal-weight daily return (close/pre_close-1 mean over universe), RET5, RET20 (rolling means); diagnostic only, NO market gate built,"frozen"
conditional_increment,single frozen regression: DAY_MEAN_RETURN = a + b1*rank01(BREADTH_PCT) + b2*MARKET_DAILY_RETURN; report b1 sign + HAC CI; no other variables, no tuning; if breadth vanishes after market return -> panic-day proxy; if stable -> strategy-native incremental,"frozen"
capture_rate_link,per breadth quintile: K3 capture rate = P5/A0 actual executed_new_entries (p5_daily_capital_ledger) / B20_COUNT; join on date only; diagnostic, no portfolio rerun; purpose: confirm high-breadth days are the worst-capture days,"frozen"
signal_quality_vs_capture,if Q5 day-mean-return high AND Q5 capture rate very low -> evidence for future portfolio architecture; but NO K increase now,"frozen"
tail,DAY_MEAN_MAE / MAE<=20 rate / MAE<=30 rate / hold>60 / hold>90 by quintile; if return improves while tail worsens materially -> mark PANIC-BOUNCE / TAIL TRADEOFF,"frozen"
classification,A STRONG BREADTH VALUE: (1) positive stable direction; (2) HAC lower>0 or rank-slope CI lower>0; (3) Q5-Q1 calendar CI lower>0; (4) >=3/5 yearly positive; (5) Q1->Q5 roughly monotone; (6) after controlling market daily return b1 still positive and at least point-stable; (7) no unacceptable tail deterioration. B NARROW: aggregate point clearly positive + >=3/5 years positive but CI or conditional increment weak. C NO STABLE BREADTH VALUE. D HARMFUL: high breadth -> worse quality or severe tail worsening,"frozen"
next_gate,only B1=A/B allows P7 PANIC-DAY CAPACITY ARCHITECTURE (dynamic K / basket capture / temporary capacity expansion) via separate prereg; B1=C/D -> no K modification,"frozen"
no_go,no dynamic K; no real portfolio; no new position sizing; no ETF substitute; no RSI/MACD/weekly BB/sector/fundamental/ML; no threshold scan; no breadth-cutoff optimization,"frozen"
invariants,I1 B20 exact 63785 parity; I2 breadth uses signal-date info only; I3 PIT legal universe denominator; I4 no outcome used to define breadth; I5 date-level primary inference; I6 no real portfolio rerun; I7 no dynamic K; I8 no threshold optimization; I9 no new technical/fundamental factor; I10 2025-2026 CLOSED; I11 prior Registry SHA unchanged (D1 6168e104...; D1.1 414a1816...; D1.2 f4be40f9...; W1 30df89a5...),"frozen"
