item,specification,frozen_value
phase,PHASE P7 - PANIC-BREADTH CAPACITY ARCHITECTURE,portfolio architecture probe
governance,B1.1 external audit ACCEPTED as A - STRONG BREADTH VALUE; B1 FINAL=A; old B1 bootstrap CI [+0.335,+2.307] and old conditional CI [+3.267,+3.299] formally withdrawn; corrected inference is the only valid version; P7 ALLOWED,"R1.8"
bridge,530-vs-527 exact bridge MUST close BEFORE any portfolio run: P5 candidate events=530; B1.1 quintile-joined pipeline=527; missing 3 events = 2022-05-13 002415.SZ (BLOCKED_HELD; S1 replay held exclusion - active episode 2022-05-09..06-06), 2023-11-09 601318.SH (QUEUED; S1 replay held exclusion - active episode 2023-10-20..2024-01-25; replay-vs-portfolio holding state difference), 2024-12-31 600030.SH (QUEUED; end-horizon - T+1 entry 2025-01-02 beyond dev N2024); 530=527+3 exact; bridge FAIL -> STOP P7,"frozen"
pipeline_semantics,P5 candidate_count = amount Top10 (frozen amount descending) ∩ BB oversold (close_adj<bb_lower & ~is_limit) ∩ valid (listed>=60d & ~PIT ST) per signal date; funnel: FULL LEGAL UNIVERSE -> B20 signals (all-market) -> amount Top10 -> P5 candidate pipeline -> HELD/EXECUTION/K/CASH/LOT -> ADMITTED; B1 full-market B20_COUNT vs P5 pipeline difference = amount Top10 truncation (NOT FULLY IDENTIFIABLE as single layer because P5 ledger aggregates after Top10; stated explicitly),"frozen"
breadth_state,deployable state = EXPANDING_BREADTH_PERCENTILE: for trading day T use ONLY dates<T historical B20_BREADTH_PCT; T itself excluded from reference distribution; future dates forbidden; full-sample 2020-2024 qcut Q5 trigger FORBIDDEN (future distribution leakage),"frozen"
min_history,MINIMUM 252 prior trading days; if T has <252 prior trading days: PANIC_STATE=0 (baseline A0 behavior); no future fill,"frozen"
panic_trigger,PANIC80: current B20_BREADTH_PCT >= real-time 80th percentile of prior (expanding) breadth distribution; only 80th percentile; 70/75/85/90/95 scans FORBIDDEN,"frozen"
timing,T-day close generates B20 signals + PANIC_STATE; affects ONLY T+1 entry admission; never affects T-day already executed trades,"frozen"
baseline,A0 exact frozen P4/P5 baseline: amount Top10, K=3, max_layers=5, 200k/layer, shared 1M capital, daily B20 entry, STRICT_C exit, A-share costs/slippage 10bp, T+1, lot/PIT/limits unchanged; exact parity required: Total +30.295093786122408% / Trades 76 / MaxDD -30.78972881784398% / Sharpe 0.3467648252149691 else STOP,"frozen"
variants,ONLY THREE portfolio variants: P7-A0 baseline (amount Top10 K3 always); P7-A1 PRIMARY (normal amount Top10 K3; PANIC80 days amount Top10 K6 - only K ceiling changes); P7-A2 SECONDARY structural probe (normal amount Top10 K3; PANIC80 days amount Top20 K6); no grid search; Top15/30/50 and K4/5/8/10 scans FORBIDDEN,"frozen"
k_semantics,PANIC80 affects ONLY new-admission ceiling for entries generated by that day's signal executed T+1; existing positions never force-sold when panic ends; when n_pos>3 after K reversion to 3: no new entries allowed, natural exits until <=3; no manual liquidation; no forced sell K6->K3,"frozen"
capital,shared 1,000,000 RMB capital unchanged; no added principal; no leverage; K6 does NOT imply 6x200k all filled; real cash/lot/existing layers constraints continue; shared cash pool retained (P6 D - no NEW/ADD wallet split),"frozen"
add_layers,max_layers=5 frozen; add logic unchanged; adds must not be cut to fund more initial entries,"frozen"
amount_top20,A2 PANIC80: Top20 by frozen amount descending within that day's legal universe; normal days Top10; ranking input uses ONLY signal-date T amount (no T+1 amount),"frozen"
classification,A - STRONG CAPACITY IMPROVEMENT: A1 vs A0 (1) Total Return>A0 (2) Sharpe>A0 (3) MaxDD not worse >5pp (4) >=3/5 years improved (5) incremental PnL not >50% from single date/trade (6) no COMMON dilution offsetting added gains; B - NARROW: positive economic improvement but one of Sharpe/yearly/concentration weak, no catastrophic risk; C - NO USEFUL: signal-level A holds but A1 not convertible to real portfolio improvement; D - HARMFUL: A1 clearly worse or significantly worse risk,"frozen"
a2_mechanism,M1 A1 improves A2 no further help -> K BOTTLENECK SUFFICIENT; M2 A1 weak A2 improves -> PRE-ADMISSION WIDTH MATTERS; M3 both improve -> TWO-STAGE CAPACITY BOTTLENECK; M4 both fail -> BREADTH ALPHA NOT PORTFOLIO-CONVERTIBLE; A2 never upgrades primary classification,"frozen"
no_go,no K grid; no TopN grid; no breadth threshold scan; no full-sample Q5 trigger; no new capital; no leverage; no new exit; no new stop; no RSI/MACD/weekly/fundamental; no new ranking; no ML; no 2025-2026,"frozen"
invariants,I1 B1.1 accepted A; I2 530-vs-527 exact bridge closed; I3 A0 exact parity; I4 panic state only uses dates<T; I5 no full-sample quantile trigger; I6 252 prior trading days minimum; I7 T signal only affects T+1 admission; I8 normal K3 / panic K6 exact; I9 A2 only panic Top20; I10 shared 1M capital unchanged; I11 no forced sell K6->K3; I12 add logic unchanged; I13 exit unchanged; I14 no parameter scan; I15 no 2025-2026,"frozen"
