field,value,status
phase,F21_MATCHED_SHARE_ACTIONABILITY,frozen
supersedes,F2_INVALID_P0_CAPITAL_BASIS_MISMATCH,frozen
primary_anchor,D20,frozen
secondary_anchor,D30,secondary_only
d10,NOT_STUDIED,frozen
sample,2020_2024_development_frozen_secondary_v2a_independent_episodes,frozen
2025_read,PROHIBITED,frozen
basis,MATCHED_SHARE_ANCHOR_HELD_SHARES_ONLY,frozen
S_anchor,sum_shares_layers_with_layer_i_le_anchor_i,frozen
C_anchor,sum_actual_acquisition_cost_incl_buy_fees_for_those_layers,frozen
natural_baseline,MATCHED_NATURAL_RETURN_of_S_anchor_at_frozen_natural_exit_execution_price,frozen
natural_exit_price_recovery,INSTRUMENT_LOCAL_REPLAY_execution_price_by_exit_type_TAKE_PROFIT_DYN_UB_FINAL_SETTLE_with_frozen_slip,frozen
natural_parity_requirement,episode_count_exit_date_exit_type_ret0_pnl0_exact_parity_else_P0_STOP,frozen
future_adds,EXCLUDED_from_matched_return_separately_described,frozen
early_action,ANCHOR_PLUS_1_FIRST_EXECUTABLE_OPEN_full_liquidation_of_S_anchor,frozen
early_execution_rules,T_plus_1_non_suspended_not_unsellable_limit_down_open_real_price,frozen
early_costs,frozen_slippage_commission_stamp_transfer,frozen
primary_delta,early_return_minus_natural_matched_return,frozen
forbidden_delta,early_return_minus_full_episode_ret0_NOT_economic,frozen
failure_labels,O1_final_return_le_0_O2_never_RECOVER_CLOSE_O3_never_RECOVER_TOUCH,frozen
labels_nature,PERFECT_HINDSIGHT_LABELS_not_strategy,frozen
terminology,PERFECT_LABEL_FIXED_ACTION_VALUE_not_global_oracle_upper_bound,frozen
TPR_grid,0.25_0.50_0.75_1.00,frozen
FPR_grid,0_0.05_0.10_0.20_0.30_0.50_1.00,frozen
grid_delta_basis,matched_share_delta_anchor_day_clustered_MC_B2000,frozen
bootstrap,full_trading_calendar_moving_block_L21_B2000_seed0,frozen
tp_benefit,matched_delta_on_true_failure_exit,frozen
fp_cost,matched_delta_on_wrongly_exited_recovery_opportunity_cost_natural_minus_early,frozen
capital_release_A,current_position_capital_days_saved_early_exit_to_natural_exit,frozen
capital_release_B,future_add_capital_avoided_separate_from_return,frozen
anchor_close_sensitivity,optimistic_non_executable_matched_basis,frozen
layer_subsets,anchor_layers_1_2_3plus_descriptive,frozen
market_overlay,R01_R05_descriptive_no_gate,frozen
classification_A,TPR_0.5_FPR_0.2_matched_delta_CI_lower_gt_0,frozen
classification_B,perfect_label_fixed_action_delta_gt_0_but_A_gate_fails,frozen
classification_C,perfect_label_fixed_action_CI_includes_zero_or_economically_tiny,frozen
classification_D,perfect_label_fixed_action_matched_delta_CI_upper_lt_0,frozen
wording_boundary,EVEN_D_means_only_D20_plus_1_immediate_full_liquidation_harmful_with_perfect_labels,frozen
wording_forbidden,all_state_aware_exit_useless_NOT_claimable,frozen
invariants,I1_S_anchor_identical_I2_C_anchor_identical_I3_natural_price_parity_exact_I4_future_layers_excluded_I5_early_rules_frozen_I6_costs_frozen_I7_no_2025_I8_registries_unchanged_I9_no_predictor_stop_new_exit,frozen
registry_f1_sha,a052309e6f939796795566d1cd1094e2ec706f53250c231377c64efb315eef14,frozen
registry_f11_sha,aacb2146308abd155401c1231209b7cab14e1bc44c50e6f19007ac39582aef91,frozen
registry_f2_sha,9ed07a575ae65bbda3d63321e676431231d00548bb8977fb443764163b85642a,frozen
