item,specification,frozen_value
phase,PHASE S1.1 - CONTEMPORANEOUS BB DEPTH RANKING (SAME-DAY SIGNAL SELECTIVITY),same-day depth ranking only
governance,S1 ACCEPTED: BB threshold=D HARMFUL (waiting for k=2.5/3.0 before buying); RSI=C no stable increment (excluded); Sector=N/A PIT NOT READY (no current-snapshot backfill); HIGHER ENTRY K branch CLOSED,"accepted S1"
distinction,THRESHOLD GATING (S1, REJECTED: do not buy until deeper sigma) vs CONTEMPORANEOUS RANKING (THIS PHASE: among same-day legal B20 candidates rank by signal-date-visible BB_Z; NO delayed entry),"ranking not gating"
sample,"2020-01-01 .. 2024-12-31 Development; 2025-2026 CLOSED; S1 frozen B20 independent signal framework reused verbatim","2020-2024 dev"
parity,B20 must reproduce S1: n=63,785 episodes; S1 declared hard-horizon parity semantics (287=283+4, horizon explanation); mismatch -> P0 STOP,"B20 exact parity"
entry,B20 unchanged: close_adj < MA20 - 2*SD20 (original -2 sigma entry); NOT waiting for -2.5/-3 sigma; all candidates are same-day legal B20 signals,"entry k=2.0 frozen"
exit,STRICT_C frozen (dynamic Pstar touch k=2 / TAKE_PROFIT_UB / FINAL_SETTLE / censored / 10bp / historical stamp / 100-share lots / T+1) - unchanged from S1,"exit frozen"
primary_feature,BB_Z_SIGNAL = (close_adj - MA20) / SD20 at signal-date close with frozen sample std; more negative = deeper oversold; FORBIDDEN: future low / future MAE / future BB_Z / min-Z over next days; signal-date-visible only,"BB_Z only"
same_day_rank,per signal day rank all B20 candidates by BB_Z ascending (most negative first); DEPTH_PERCENTILE computed; frozen groups DEEP30 (deepest 30%) / MID40 (middle 40%) / SHALLOW30 (shallowest 30%); deterministic percentile rule when candidates few: ceil/floor rank boundaries rounded deterministically, ties broken by ts_code ascending (no effect on feature value),"30/40/30 frozen"
primary_comparison,DEEP30 vs SHALLOW30; signal-day equal weight: per day mean independent return within DEEP30 minus within SHALLOW30 -> daily delta; primary estimate = mean(daily deep - shallow); HAC maxlags=10; full 2020-2024 trading-calendar moving-block bootstrap L=21 B=2000 seed=0 (NaN days dropped post-resample, paired),"day-equal + HAC10 + cal-block"
absolute_bins,S1 frozen bins on ORIGINAL B20 signal date ONLY: [-2.0,-2.5) / [-2.5,-3.0) / [-3.0,-3.5) / <-3.5; NO B25/B30 replay; descriptive depth-outcome relation,"S1 bins, B20 only"
first_hit,DAYS_SINCE_B20_FIRST_CROSS = trading days from first day of the current continuous BB_Z<-2 episode (scan back from signal_date to most recent day with BB_Z>=-2; signal day = day 0); FIRST_HIT=0 days; REPEAT_HIT=>0 days; diagnostic only - never modifies entry,"frozen definition"
depth_x_first_hit,secondary: within frozen absolute bins compare FIRST_HIT vs REPEAT_HIT mean/win/MAE/hold; event-day delta + HAC/calendar CI; tests hypothesis: value lies in fast one-step deep drop not slow grind to depth,"diagnostic"
collision_days,PRIMARY-subpopulation: signal day with B20 candidate_count >= 4; frozen (NOT >=3/>=5/>=10); recompute DEEP30/MID40/SHALLOW30 within collision days; report DEEP-SHALLOW delta; directly answers how to pick when slots scarce,"collision >=4"
top3_diagnostic,COUNTERFACTUAL SIGNAL-SELECTION DIAGNOSTIC ONLY (no real portfolio execution, no shared capital / position conflicts / slot occupancy): on collision days DEPTH_TOP3 = 3 deepest BB_Z candidates vs AMOUNT_TOP3 = frozen amount-ranking top-3; compare independent normalized outcomes; explicitly NOT a K=3 portfolio backtest,"counterfactual only"
outcome_metrics,per group: n episodes / n signal days / mean / median / win / profit factor / MAE / MFE / median&mean hold / days underwater / MAE<=-20 / MAE<=-30 / hold>60d / hold>90d,"per group"
slot_efficiency,per group: normalized PnL per 1000 holding-days AND winning episodes per 1000 holding-days; compare DEEP30/MID40/SHALLOW30 and DEPTH_TOP3/AMOUNT_TOP3,"frozen formula"
yearly,2020..2024 separately: DEEP30-SHALLOW30 daily equal-weight delta; primary requires directional stability (>=3/5 years positive), not just 5-year total,"per-year"
monotonicity,two frozen checks: (1) Spearman(BB_Z_SIGNAL, independent return) - day-level statistic: per-day Spearman with >=3 observations, Fisher-z mean across days; pooled Spearman also reported; (2) three-tier ordering DEEP30 > MID40 > SHALLOW30 satisfied or not; no regrouping after results,"frozen checks"
inference_notes,signal-day equal weight everywhere; no episode-level independence assumption; HAC maxlags=10; bootstrap L=21 B=2000 seed=0 full calendar,"frozen"
tail_risk,report MAE<=-30 and hold>90d for DEEP30 vs SHALLOW30; if mean improves but tail clearly worsens -> TAIL-RISK TRADEOFF flag; part of classification gate,"report"
concentration,effect not driven by single signal day >50%: max single-day |daily delta| / sum |daily delta| must be <= 0.5 for classification A,"<=50%"
classification,A: (1) DEEP30-SHALLOW30 point>0 (2) HAC CI lower>0 (3) calendar bootstrap lower>0 (4) >=3/5 years daily delta>0 (5) collision-days DEEP-SHALLOW direction >0 (6) no clear MAE<-30 or hold>90d deterioration (7) no single-day concentration >50%; B: point positive + >=3/5 years positive + collision-days positive but at least one of HAC/calendar CI crosses 0; C: no stable contemporaneous ranking evidence; D: deeper contemporaneous rank stably worse or tail clearly worse,"frozen rules"
next_decision,only S1.1=A or B qualifies for next-stage REAL K=3 portfolio DEPTH-RANKING TEST; C/D -> NOT into portfolio; next lever chosen ONLY from diagnostic evidence,"gate"
no_go,RE-TEST entry k=2.5/3 FORBIDDEN; RSI / MACD gate / sector current snapshot / fundamental / news / portfolio factor / dynamic threshold / ML / portfolio execution ALL FORBIDDEN this phase,"no-go"
invariants,I1 B20 exact S1 parity; I2 no entry threshold change; I3 no delayed entry; I4 no exit change; I5 signal-date BB_Z only; I6 same-day ranking only; I7 no RSI/MACD gate; I8 no sector/fundamental/news; I9 TOP3 diagnostic does not alter portfolio path; I10 no parameter scan; I11 no combinations; I12 no 2025+ read; I13 prior Registry SHA unchanged,"I1-I13"
