phase,hypothesis,layer,development_period,primary_metric,result,classification,category,statistical_strength,economic_strength,implementation_realism,cost_included,PIT_status,portfolio_tested,execution_tested,y2025_2026_touched,branch_status,can_enter_blind_test,reason
Independent Trade Replay V2A,BB lower-band episode edge is real (no lookahead),signal,2020-01-01..2024-12-31,episode mean return / HAC,STRICT_C signal layer survives independent replay; positive episode expectancy,A — ROBUST SIGNAL EDGE,1,"STRONG (replay, no same-bar info)",POSITIVE episode-level,entry only (T+1 open),episode-level costs model,PIT OK,False,replay verified,False,OPEN (validated),False,Robust signal-level edge; not a portfolio.
Full-Market Episode Replay,BB edge generalizes across full market ~89k,signal,2020-01-01..2024-12-31,replay parity,Full-market episode replay structure A; trade-path structure consistent,A — ACCEPTED,1,STRONG,POSITIVE,replay only,included in replay,PIT OK,False,replay verified,False,OPEN (validated),False,Generalization of replay edge.
B1/B1.1 Breadth,day-level B20 breadth predicts day mean episode return,signal/date-level,2020-01-01..2024-12-31,Q5-Q1 day mean return / HAC / calendar boot / conditional b1,"Q5-Q1 +2.664291pp; corrected calendar boot CI [+1.102,+4.185]; rank-slope HAC [+0.00130,+0.00463]; conditional b1 +3.283183 CI [+1.030,+5.537]; 5/5 years positive; monotone; tail not worse",A — STRONG BREADTH VALUE (FINAL),1,STRONG (corrected inference),POSITIVE date-level,date-level diagnostic,N/A (date-level),PIT denominator OK,False,False,False,OPEN (validated),False,Robust date-level signal edge; portfolio translation failed (P7/M2).
T2-R Reverse Validation,market-state reverse direction relation robust,signal/context,2020-01-01..2024-12-31,validation classification,Reverse-direction market-state relationship validated A STRONG,A STRONG VALIDATION (ACCEPTED),1,STRONG,context-level,context diagnostic,N/A,PIT OK,False,False,False,"OPEN (validated, context only)",False,Robust context relationship; T3 showed no gate-able form.
Original First-Gen Strategy,raw BB mean-reversion is hugely profitable,portfolio,2020-01-01..2024-12-31,total return,+354.9% but same-bar close-close lookahead,INVALID,2,—,—,—,not meaningful,—,True,True,False,INVALID (lookahead),False,Same-bar future information; theory signal != tradeable return.
STRICT_C Corrected Portfolio (A0 K3),corrected-entry K3 system is the audited baseline,portfolio,2020-01-01..2024-12-31,total/MDD/Sharpe,+30.2950937861% / Trades 76 / MaxDD -30.7897288178% / Sharpe 0.3467648252,DEVELOPMENT-ONLY BASELINE,2,parity-stable across P4-P7,POSITIVE after-cost,"REALISTIC (T+1 open, lot, PIT pool, A-share costs/slippage)",YES,PIT OK,True,True,False,OPEN (development baseline),False,"Best audited portfolio architecture, but development-only baseline, not a proven alpha carrier."
K999 (no K constraint),removing K ceiling improves capture,portfolio,2020-01-01..2024-12-31,total return,Severely worse in P4 ablation (de-constraining K destroys path economics),D — TESTED BOTTLENECK (ablation),2,—,NEGATIVE,tested,YES,PIT OK,True,True,False,CLOSED,False,K=3 is protective admission constraint.
ML1 (max_layers=1),fewer add-layers helps capital efficiency,portfolio,2020-01-01..2024-12-31,total return,Removing multilayer adding (5->1) harmful in tested path (P4),D — HARMFUL (tested),2,—,NEGATIVE,tested,YES,PIT OK,True,True,False,CLOSED,False,Add-layer structure is part of baseline economics.
Fixed Stop Variants (S0/S0.1),fixed stops reduce deep-MAE risk,portfolio,2020-01-01..2024-12-31,deep-MAE rate / return,Old phase-A conclusion (stops do not help) robust under re-audit,A — OLD CONCLUSION ROBUST (stops rejected),2,STRONG (audit),NEGATIVE for stops,tested,YES,PIT OK,True,True,False,CLOSED,False,Fixed stops rejected.
P3 Finite-K ATR Ranking,ATR-based slot allocation beats amount ranking,portfolio,2020-01-01..2024-12-31,portfolio PnL,ATR20_PCT passed single-factor screen (P2) but slot allocation adds no portfolio value,C — NO USEFUL PORTFOLIO RANKING (CLOSED),2,weak,NEGATIVE,tested,YES,PIT OK,True,True,False,CLOSED,False,Ranking edge did not convert to portfolio value.
P5.1 Deferred Queue,queued blocked candidates recover eligibility,portfolio,2020-01-01..2024-12-31,release-day eligibility,EXACT_ELIGIBLE only 2.68%; 88.99% no longer oversold; queue mostly stale,C — QUEUE MOSTLY STALE (CLOSED),2,STRONG (diagnostic),NEGATIVE,tested,N/A,PIT OK,True,True,False,CLOSED,False,Queue admission not worth backtest.
P6 Add-Budget Separation,separating NEW/ADD wallets protects path,portfolio,2020-01-01..2024-12-31,total return,A1 +11.04% / A2 +10.27% / A3 -7.76% vs A0 +30.30%,D — HARMFUL (ACCEPTED),2,—,NEGATIVE,tested,YES,PIT OK,True,True,False,CLOSED,False,Shared-pool time elasticity is part of A0; split wallets hurt.
P7 Panic K6 / Top20+K6,panic-day capacity expansion converts breadth alpha,portfolio,2020-01-01..2024-12-31,total return / MDD / Sharpe,"A1 (K6) -20.81% / -46.94% / -0.047; A2 (Top20+K6) -22.79% / -44.57% / -0.094; 0/5 years; COMMON dilution -183,557",D — HARMFUL / M4 (ACCEPTED),2,—,NEGATIVE,tested,YES,PIT OK,True,True,False,CLOSED,False,Capacity expansion worsens shared-capital path; K=3 retained.
M2/M2.1 ETF Carrier (510300),panic-breadth translates to broad-market ETF carrier,portfolio,2020-01-01..2024-12-31,net total return,M2 net -5.309%; M2.1 corrected net -7.2514% (gross +12.05% eaten by ~19.3pp cost); p=0.145; 2/4 years,"D — HARMFUL (M2 FINAL, ACCEPTED)",2,weak (perm p=0.145),NEGATIVE after-cost,"REALISTIC (T+1 open, 5d hold, non-overlap, 100k, costs)",YES,PIT OK,True,True,False,CLOSED,False,Thin rebound edge eaten by execution costs; carrier translation failed.
Regime Discovery (T2),market-state reverse direction relationship exists,signal/context,2020-01-01..2024-12-31,discovery classification,Reverse-direction relationship discovered (ACCEPTED AS DISCOVERY),DISCOVERY,3,discovery,context,diagnostic,N/A,PIT OK,False,False,False,OPEN (discovery),False,Context discovery; basis of T2-R and B1.1.
P1/P2 ATR Ranking,cross-sectional ranking has signal value,signal,2020-01-01..2024-12-31,ranking validation,P1 A discovery; P2 B partial (ATR20_PCT only full pass),"B — PARTIAL (P2, ACCEPTED)",3,partial,partial,diagnostic,episode-level,PIT OK,False,False,False,SUPERSEDED BY P3 FAILURE,False,Single-factor partial; not executable.
P4 Architecture Ablation,structural bottleneck identification,portfolio,2020-01-01..2024-12-31,ablation returns,K=3 is the binding capacity bottleneck and protective admission constraint; de-constraining any constraint worsens,D — TESTED BOTTLENECK (ACCEPTED DIAGNOSTIC),3,STRONG (mechanism),context,diagnostic,YES,PIT OK,True,True,False,OPEN (diagnostic),False,Explains why expansion fails.
P4.1 PnL Bridge,why de-constraining K hurts,portfolio,2020-01-01..2024-12-31,COMMON path PnL delta,"Capital/path dilution dominant: COMMON 65 same trades, A1 earns -67k vs A0; A1_ONLY -118,610 actual PnL",B — CAPITAL/PATH DILUTION DOMINANT (DEVELOPMENT DIAGNOSTIC),3,STRONG (H3 evidence),mechanism,diagnostic,YES,PIT OK,True,True,False,OPEN (diagnostic),False,More positive-expectancy trades can reduce portfolio return via shared capital/path.
F1/F1.1 Recoverability,deep-MAE episodes recoverability predictable,signal/risk,2020-01-01..2024-12-31,recoverability classification,Deep-MAE recoverability predictable (A STRONG) with corrected inference,A — STRONG RECOVERABILITY PREDICTABILITY,3,STRONG,diagnostic,diagnostic,N/A,PIT OK,False,False,False,OPEN (diagnostic),False,Context for risk understanding; not a deployable signal.
F2/F2.1/F2.2/F2.3 Actionability,perfect-label early exit has value,signal/risk,2020-01-01..2024-12-31,day-equal value,"Perfect-label D20+1 exit +1.4486pp (HAC [+0.4767,+2.4205]); break-even precision 0.762",B — NARROW POSITIVE ACTIONABILITY (ACCEPTED),3,STRONG (statistics),UPPER BOUND only (future label),not deployable (future label),N/A,PIT OK,False,False,False,OPEN (bound),False,Actionability upper bound; depends on future information.
F3 Predictor Feasibility,real simple predictor achieves economic threshold,signal/risk,2020-01-01..2024-12-31,OOF AUC / stable years,OOF AUC 0.720 but STABLE_SAFE/STABLE_POINT 0/6; 2024 only positive,C — PREDICTIVE BUT ECONOMICALLY INSUFFICIENT (ACCEPTED),3,MODERATE (AUC),INSUFFICIENT,diagnostic,N/A,PIT OK,False,False,False,CLOSED,False,Predictive but below economic threshold.
P5 Capacity Diagnostic,where does capital get blocked,portfolio,2020-01-01..2024-12-31,blocked reasons,"K=3 blocks 63.4% of candidates, 55.1% of days K-full; cash never blocks; K protective",C — BOTTLENECK DIAGNOSTIC (R1.1 corrected),3,STRONG (diagnostic),context,diagnostic,YES,PIT OK,True,False,False,OPEN (diagnostic),False,K is binding bottleneck.
S1 Signal Selectivity,deeper-entry threshold / RSI / sector add value,signal,2020-01-01..2024-12-31,matched-depth comparisons,"BB threshold D (B25 vs B20_ONLY -2.12pp, HAC [-2.60,-1.64]); RSI C; sector N/A",D THRESHOLD / C RSI / N/A SECTOR (ACCEPTED),3,STRONG (threshold negative),negative evidence,diagnostic,N/A,PIT OK,False,False,False,CLOSED,False,Waiting for deeper entry harmful; RSI no stable increment.
S1.1 Depth Ranking,same-day deeper BB_Z ranks better for slots,signal,2020-01-01..2024-12-31,DEEP30-SHALLOW30 day delta,"-0.023pp (HAC [-0.53,+0.48]); 2/5 years; non-monotone; Spearman ~0",C — NO STABLE RANKING VALUE (ACCEPTED),3,weak,negative,diagnostic,N/A,PIT OK,False,False,False,CLOSED,False,Contemporaneous depth cannot rank candidates.
W1 Weekly BB Context,weekly lower-band resonance adds diagnostic value,signal,2020-01-01..2024-12-31,touch vs no-touch paired delta,Pooled advantage is between-day composition effect; within-day negative; classified D,D — HARMFUL (ACCEPTED),3,weak,negative,diagnostic,N/A,PIT OK,False,False,False,CLOSED,False,Weekly resonance has no incremental value.
D1/D1.1/D1.2 PIT Context,auditable PIT sector and fundamental layers,data,2020-01-01..2024-12-31,coverage / revision semantics,"Sector B (94.555% coverage, historical rebuildable); financial A (100% / TTM 98.80% / forecast 94.73% / express 37.16%); D1.1 STRICT_SELECTOR PASS; D1.2 C SEMANTICS AMBIGUOUS",DATA FOUNDATION (D1 HOLD; D1.1 PASS; D1.2 C),3,STRONG (audit),context,data layer,N/A,PIT semantics audited,False,False,False,HOLD (S3 forbidden),False,Data layer not strategy; fundamental visibility semantics unresolved.
M1/M1.1/M1.2 Market Rebound,panic breadth predicts forward market rebound,market,2020-01-01..2024-12-31,FWD5 delta / HAC / boot,"M1 exploratory protocol-deviated (withdrawn); M1.1 provisional; M1.2 FINAL FWD5 +0.2752pp, boot CI [-0.288,+0.798] cross 0, cluster-first -0.2766pp, 3/4 years","B — NARROW MARKET TRANSLATION (M1.2 FINAL, ACCEPTED)",3,weak (CI cross 0),"narrow, episode-dependent",diagnostic,N/A,PIT OK,False,False,False,OPEN (narrow indication),False,Weak market-level indication; ETF gate was one frozen carrier test (failed).
