item,specification,frozen_value
phase,PHASE M1 - PANIC-BREADTH -> MARKET REBOUND TRANSLATION,pure market-level diagnostic
governance,R1.9 commit 1cf7b38: P7=D accepted (M4); panic-day capacity expansion branch CLOSED; K=3 retained as protective admission constraint (wording: existing dev evidence repeatedly shows expanding K worsens shared-capital path, NOT proof K=3 theoretically optimal); B1.1=A signal-level breadth alpha still stands; M1 opened: translate date-level breadth alpha into MARKET-LEVEL FORWARD REBOUND; YES -> future broad-market ETF/basket carrier allowed; NO -> no ETF architecture,"frozen"
spec_note,原指令于 D 节 PANIC80 处截断; 本 Registry 按可见意图与既有研究纪律补全: benchmark=全A等权日收益(B1 MKT_RET 同口径), horizons={5,10,20,40} primary H=20, inference=HAC(maxlags=10)+calendar moving block bootstrap L=21 B=2000 seed=0, conditional=forward_ret ~ panic_dummy + MKT_RET, 分类沿用既有 A/B/C/D 语义 + YES/NO/UNCERTAIN 翻译; 待外部审计确认,NOT FORGED,"frozen"
no_portfolio,no existing stock portfolio run; no K change; no TopN change; no sizing change; no layers change; no ETF portfolio; no 2025-2026 read,"frozen"
breadth_state,PRIMARY state 完全沿用 P7 deployable PANIC80: EXPANDING breadth percentile (for T use ONLY dates<T historical B20_BREADTH_PCT; T excluded from its own reference); minimum history 252 prior trading days; PANIC80 = BREADTH_PCT >= real-time 80th percentile; zero-signal days excluded from both panic state and outcome analysis (no breadth, no forward question); full-sample qcut Q5 trigger FORBIDDEN,"frozen"
market_benchmark,全A等权日收益 r_t = mean over all stocks of (close/pre_close - 1) on day t, 与 B1 MKT_RET 完全同口径 (combined_daily.parquet, 2020-2024); forward rebound = cumulative product of (1+r) from T+1 to T+H minus 1; H in {5,10,20,40}; PRIMARY H=20 (策略 median hold ~26-29d); 仅用 dates>T 数据,"frozen"
primary_state_compare,PRIMARY comparison: PANIC80 signal days vs NON-PANIC signal days (both with B20 episodes); signal-day equal weight; estimate = mean(forward_ret|panic) - mean(forward_ret|nonpanic) per horizon; zero-signal days not in either group,"frozen"
continuous_breadth,secondary: Spearman(BREADTH_PCT, forward_ret) per horizon (day-level); plus B1 frozen quintile labels Q1..Q5 joined directly (no re-qcut); report Q5-Q1 forward delta per horizon,"frozen"
inference,HAC maxlags=10 on date-level; full 2020-2024 trading-calendar moving block bootstrap L=21 B=2000 seed=0 for PANIC-nonpanic delta per horizon; point must equal full-sample mean difference; bootstrap mean/median/P2.5/P97.5 reported,"frozen"
conditional,date-level regression forward_ret ~ a + b1*PANIC_DUMMY + b2*MKT_RET (T-day market return) per horizon; multivariate Newey-West sandwich (X'X)^-1 S (X'X)^-1 maxlags=10; purpose: distinguish panic rebound alpha from simple 'after-a-down-day mean reversion'; b1 is the incremental panic effect conditional on T-day market move; no other variables; no model selection,"frozen"
yearly,per calendar year 2020-2024: PANIC-nonpanic forward delta (if sample allows) and direction of Spearman; stability required >=3/5 years same sign,"frozen"
classification,A - STRONG REBOUND TRANSLATION: (1) PANIC-nonpanic point>0 at H=20 (and H=10 direction consistent) (2) HAC lower>0 at H=20 (3) calendar bootstrap lower>0 at H=20 (4) >=3/5 years positive (5) conditional b1>0 with HAC lower>0 at H=20 (panic not merely after-down-day proxy); B - NARROW: point positive + >=3/5 years positive but one primary CI crosses 0 or conditional increment weak; C - NO STABLE REBOUND: no stable relation; D - HARMFUL: panic days rebound worse. Translation: A/B -> YES (broad-market ETF/basket carrier worthy of future prereg); C -> UNCERTAIN (no decisive evidence; no ETF architecture yet); D -> NO (no ETF architecture),"frozen"
no_go,no portfolio run; no K/TopN/sizing change; no ETF strategy build; no breadth threshold scan; no parameter scan; no combinations; no 2025-2026,"frozen"
invariants,I1 breadth=P7 deployable PANIC80 (expanding, 252 prior days, T excluded); I2 forward uses only dates>T; I3 全A等权口径=B1 MKT_RET; I4 no portfolio run; I5 no parameter scan; I6 no 2025-2026 read; I7 prior Registry SHA unchanged,"frozen"
