field,value,status
phase,F2_ACTIONABILITY_ORACLE_VALUE_BOUND,frozen
primary_anchor,D20,frozen
secondary_anchor,D30,secondary_only
d10,NOT_STUDIED,frozen
sample,2020_2024_development_frozen_secondary_v2a_independent_episodes,frozen
2025_read,PROHIBITED,frozen
baseline,O0_NATURAL_EXIT_unchanged,frozen
oracle_O1,PERFECT_FINAL_LOSER_exit_if_natural_return_le_0_else_natural,frozen
oracle_O2,PERFECT_NON_RECOVERY_CLOSE_exit_if_never_RECOVER_CLOSE_else_natural,frozen
oracle_O3,PERFECT_NON_RECOVERY_TOUCH_exit_if_never_RECOVER_TOUCH_else_natural,frozen
oracle_nature,HINDSIGHT_UPPER_BOUND_NOT_STRATEGY,frozen
primary_execution,ANCHOR_PLUS_1_FIRST_EXECUTABLE_OPEN,frozen
execution_rules,T_plus_1_non_suspended_not_unsellable_limit_down_open_tick,frozen
gap_execution,use_real_open_price,frozen
costs,frozen_execution_cost_slippage,frozen
secondary_execution,ANCHOR_CLOSE_optimistic_non_executable_reference,frozen
signal_model,FORBIDDEN_no_logit_score_tree_ml_feature_composite,frozen
delta_return,oracle_minus_baseline,frozen
capital_days_saved,baseline_remaining_hold_days_minus_oracle_exit_delay_from_anchor,frozen
TPR_grid,0.25_0.50_0.75_1.00,frozen
FPR_grid,0_0.05_0.10_0.20_0.30_0.50_1.00,frozen
expected_policy_value,monte_carlo_B2000_anchor_day_clustered,frozen
break_even_rule,for_each_TPR_max_FPR_with_expected_delta_ge_0,frozen
classification_A,TPR_0.5_FPR_0.2_CI_lower_gt_0,frozen
classification_B,perfect_oracle_positive_but_TPR_0.5_FPR_0.2_not_pass,frozen
classification_C,perfect_oracle_CI_includes_0_or_economically_tiny,frozen
classification_D,negative_or_unresolved,frozen
inference,calendar_block_bootstrap_L21_B2000,frozen
recovery_definitions,RECOVER_CLOSE_and_RECOVER_TOUCH_and_FINAL_PROFIT,frozen
