feature_name,formula,source,lookback,source_date_rule,PIT_status,missing_policy
bb_z,(close_adj-bb_mid)/((bb_upper-bb_mid)/2),wide 快照,信号日 T,<=signal_date,PIT,训练集统计填充
distance_to_lower_band,close_adj(T)-bb_lower,wide 快照,T,<=signal_date,PIT,训练集统计填充
distance_ma5,close_adj(T)/MA5-1 (pct),combined_daily,前5交易日,<=signal_date,PIT,训练集统计填充
distance_ma10,close_adj(T)/MA10-1 (pct),combined_daily,前10交易日,<=signal_date,PIT,训练集统计填充
distance_ma20,close_adj(T)/MA20-1 (pct),combined_daily,前20交易日,<=signal_date,PIT,训练集统计填充
distance_ma60,close_adj(T)/MA60-1 (pct),combined_daily,前60交易日,<=signal_date,PIT,训练集统计填充
ret_1d,close_adj 前1日收益 (pct),combined_daily,1日,<=signal_date,PIT,训练集统计填充
ret_3d,close_adj 前3日收益 (pct),combined_daily,3日,<=signal_date,PIT,训练集统计填充
ret_5d,close_adj 前5日收益 (pct),combined_daily,5日,<=signal_date,PIT,训练集统计填充
ret_10d,close_adj 前10日收益 (pct),combined_daily,10日,<=signal_date,PIT,训练集统计填充
ret_20d,close_adj 前20日收益 (pct),combined_daily,20日,<=signal_date,PIT,训练集统计填充
drawdown_20,"前20日最大回撤 (pct,负)",combined_daily,20日,<=signal_date,PIT,训练集统计填充
drawdown_60,"前60日最大回撤 (pct,负)",combined_daily,60日,<=signal_date,PIT,训练集统计填充
distance_52w_high,close_adj(T)/前250日最高-1,combined_daily,250交易日,<=signal_date,PIT,训练集统计填充
atr14_pct,ATR(14)/close_adj (pct),combined_daily,14日,<=signal_date,PIT,训练集统计填充
realized_vol_10,前10日 close_adj 日收益 std (pct),combined_daily,10日,<=signal_date,PIT,训练集统计填充
realized_vol_20,前20日 close_adj 日收益 std (pct),combined_daily,20日,<=signal_date,PIT,训练集统计填充
bb_width,bb_upper-bb_lower (adj),wide 快照,T,<=signal_date,PIT,训练集统计填充
bb_width_pctile,该股 bb_width 前250日百分位 (0-100),combined_daily,250日,<=signal_date,PIT,训练集统计填充
daily_range_pct,(high-low)/close*100 (T日),combined_daily,T,<=signal_date,PIT,训练集统计填充
gap_pct,(open-prev_close)/prev_close*100 (T日),combined_daily,T,<=signal_date,PIT,训练集统计填充
log_amount,log(signal_day_amount),wide 快照,T,<=signal_date,PIT,训练集统计填充
amount_percentile,T日全市场 amount 百分位 (0-100),combined_daily,T(横截面),<=signal_date,PIT,训练集统计填充
volume_ratio_5_20,前5日均vol/前20日均vol,combined_daily,20日,<=signal_date,PIT,训练集统计填充
amount_ratio_5_20,前5日均amount/前20日均amount,combined_daily,20日,<=signal_date,PIT,训练集统计填充
signal_role,"NEW_ENTRY=0,ADD_ON_1..4=1..4",wide 快照,T,<=signal_date,PIT,无缺失
level_no,层序号,wide 快照,T,<=signal_date,PIT,无缺失
days_since_first_signal,signal_date-episode首次signal_date(自然日),wide 快照,episode,<=signal_date,PIT,无缺失
signal_count_last_20d,该股前20交易日信号次数,wide 快照,20日,<=signal_date,PIT,训练集统计填充
current_mae_to_date,ADD_ON 时点已实现 MAE (pct),wide/长表,入场至T,<=signal_date,PIT,"仅ADD_ON子组,缺失填-999"
distance_from_first_entry,相对首次入场 close_adj 收益 (pct),wide/长表,入场至T,<=signal_date,PIT,"仅ADD_ON子组,缺失填-999"
csi300_ret_5,沪深300前5日收益 (pct),index_000300.parquet,5日,<=signal_date,PIT,训练集统计填充
csi300_ret_20,沪深300前20日收益 (pct),index_000300.parquet,20日,<=signal_date,PIT,训练集统计填充
csi1000_ret_5,中证1000前5日收益 (pct),index_000852.parquet,5日,<=signal_date,PIT,训练集统计填充
csi1000_ret_20,中证1000前20日收益 (pct),index_000852.parquet,20日,<=signal_date,PIT,训练集统计填充
market_up_ratio,T日全市场上涨占比 (0-1),combined_daily,T(横截面),<=signal_date,PIT,训练集统计填充
market_down_ratio,T日全市场下跌占比 (0-1),combined_daily,T(横截面),<=signal_date,PIT,训练集统计填充
daily_bb_signal_count,T日全市场BB信号数(log),wide 按日计数,T,<=signal_date,PIT,训练集统计填充
