phase,P4
study,Portfolio Architecture Causal Decomposition (STRUCTURAL ABLATION ONLY)
development_period,2020-01-01..2024-12-31
confirmation_2025_2026,CLOSED
baseline,A0 = frozen B0 (P3) pure stock
baseline_parity_reference,total_return +30.30% / trades 76 / stock_pnl +302950.94
engine,frozen STRICT_C_EXECUTABLE_TICK (run_fast_multi_strict_c_atr amount_top10; engine body copied line-for-line from P3)
candidate_rule,frozen amount Top10 + BB oversold (entry_rank_mode=amount_top10, top_n=10)
initial_cash,1000000
layer_cash,200000
slippage_bp,10
costs,historical stamp + commission + transfer fee (frozen)
t+1,yes
lot,100 shares
pending_semantics,frozen (carry limit-up / missing / no-cash)
add_gap,1
exit,frozen dynamic P* (dynamic_touch) - unchanged
entry_priority,frozen amount Top10 (NOT ATR - ranking excluded this phase)
ablation,A0: K=3 max_levels=5
ablation,A1: K=999 max_levels=5 (SLOT-RELAXED, capital still 1M, layer 200k)
ablation,A2: K=3 max_levels=1 (NO-ADD, initial layer still 200k)
ablation,A3: K=999 max_levels=1 (SLOT-RELAXED + NO-ADD)
forbidden,new predictor / ranking / composite / stop / new exit / market gate / param optimization / grid scan / K scan / layer scan / threshold / ML
ranking_allowed,NO (four architectures all use frozen amount Top10 priority)
causal_decomposition,A1-A0=slot effect; A2-A0=multi-layer effect; A3-A0=combined; interaction=(A3-A2)-(A1-A0)
interpretation,historical structural counterfactual NOT population causal effect
classification_rules,A=slot bottleneck dominant; B=multi-layer bottleneck dominant; C=interaction/both; D=architecture bottleneck not explained by K/layers
output_dir,results/evidence/p4/
registry_commit,before running outcomes (P4-A preregister)
