item,specification,frozen_value
phase,PHASE M1.2 - CALENDAR/CLUSTER/TAIL REMEDIATION,only fix 3 implementation deviations; all other M1.1 definitions unchanged
governance,M1.2-G commit 39f89bd: M1.1 (852635a/f8af038) 保留全部结果; B_NARROW_MARKET_TRANSLATION 标记 PROVISIONAL / PENDING M1.2; ETF gate HOLD 直至 M1.2 完成,"frozen"
scope,ONLY 3 fixes: (1) full trading-calendar bootstrap (2) true trading-day-adjacent clusters (3) DD5 deployable sample parity; nothing else changes: PANIC80 / 252 warmup / FWD5 primary / market fallback / expanding rank / HAC / yearly gate / classification / thresholds ALL unchanged,"frozen"
fix1_full_calendar_bootstrap,calendar = full 2020-2024 trading calendar = 1212 days; daily frame: date / PANIC80 label / FWD5 / deployable flag; days without B20 signal: PANIC80=0 but must NOT masquerade as primary normal observation (they occupy calendar positions for block sampling only; they never enter mean computation because FWD5/deployable flags absent); block sampling along FULL trading-calendar index, L=21 consecutive trading-day blocks, B=2000, seed=0; each replicate draws full calendar indices retaining multiplicity; within sampled indices compute mean(FWD5|PANIC80=1) - mean(FWD5|PANIC80=0) over frozen deployable primary observations only; NO block sampling on the compressed 899-observation sequence; NO PANIC threshold recomputation; output point / boot mean / median / P2.5 / P97.5 + old-vs-corrected bridge; point MUST equal primary +0.275pp (float tolerance),"frozen"
fix2_true_trading_day_clusters,PANIC cluster definition: two PANIC dates belong to same cluster ONLY IF their full trading-calendar index differ by exactly 1; e.g. PANIC Monday + zero-signal Tuesday + PANIC Wednesday = TWO different clusters (not merged merely because adjacent in signal-day dataframe); output n clusters / first-day n / mean FWD5 / median / win rate / normal comparator / delta + bridge old_signalrow_cluster_id -> new_calendar_cluster_id and count how many old clusters were split,"frozen"
fix3_cluster_normal_comparator,cluster-first is SECONDARY robustness; normal comparator = deployable 2021-2024 PANIC80=0 FWD5 non-NA normal days; do NOT add 2020 into comparator; output comparator n,"frozen"
fix4_dd5_sample_parity,future-5d drawdown MUST use exactly the primary deployable population: 2021-2024 expanding_rank non-NA FWD5 available; PANIC80=1 vs PANIC80=0 within it; 2020 warmup normals FORBIDDEN; report panic n / normal n / mean / median / P10 / P5 / min + old DD5 vs corrected DD5 difference,"frozen"
fix5_fwd5_tail_parity,FWD5 tail already uses deployable; only parity assertion: panic n = primary panic n (187), normal n = primary normal n (712); definition unchanged,"frozen"
classification,M1.2 creates NO new gate; fully reuses M1.1 frozen classification: A = all original A conditions; B = PANIC FWD5 point>0 and 2021-2024 >=3/4 positive and tail not severely worse even if CI/continuous/conditional weak; C/D same as original; cluster-first remains SECONDARY robustness, must NOT be silently upgraded to a mandatory gate; final text must honestly reflect: if corrected cluster-first still negative, emphasize PANIC80 positive effect is highly dependent on repeated dates within the same panic episode,"frozen"
etf_gate,only corrected M1.2 final classification A or B -> ETF gate = YES (future separate prereg only); C/D -> ETF gate = NO; even under B must NOT write ETF signal validated; only WORTHY OF ONE FROZEN CARRIER TEST,"frozen"
no_go,no threshold change; no horizon change; no benchmark change; no rank change; no regression change; no HAC lag change; no bootstrap L/B/seed change; no yearly gate change; no new filters; no ETF run; no portfolio run; no 2025-2026,"frozen"
invariants,I1 M1.1 primary FWD5 definition unchanged; I2 PANIC80 unchanged; I3 188 panic parity unchanged on full comparable range; I4 primary deployable sample unchanged; I5 bootstrap blocks sampled on full 1212-day trading calendar; I6 bootstrap does not recompute PANIC80; I7 clusters based on calendar-index adjacency; I8 DD5 comparator uses same deployable population as primary; I9 no new parameter; I10 2025-2026 CLOSED,"frozen"
